                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8418,                 3.0788,                 1.3006,                0.49034,                0.44216,                0.43628,                0.34412,                0.67428,                 2.2227,                 1.1299,             8.9812e-05,             8.9812e-05,             8.9812e-05
                      2,                0.73625,                 1.8484,                 1.1887,                0.51356,                0.52634,                0.52523,                0.41026,                0.72275,                 1.7808,                 1.1724,             0.00017803,             0.00017803,             0.00017803
                      3,                0.72354,                 1.6026,                 1.1803,                0.54547,                0.53596,                0.53893,                0.42357,                0.72346,                 1.7492,                 1.1497,             0.00026447,             0.00026447,             0.00026447
                      4,                0.71551,                 1.4737,                 1.1759,                0.57255,                0.57145,                0.57563,                0.45587,                0.70508,                 1.6731,                 1.1736,             0.00026198,             0.00026198,             0.00026198
                      5,                0.69595,                 1.3314,                 1.1597,                0.63022,                0.59638,                0.62096,                0.49671,                 0.6984,                 1.5363,                 1.1554,             0.00026198,             0.00026198,             0.00026198
                      6,                0.67538,                 1.2539,                 1.1483,                0.59536,                 0.6211,                0.63129,                0.50674,                0.67405,                  1.438,                 1.1357,             0.00025931,             0.00025931,             0.00025931
                      7,                0.65384,                 1.1723,                 1.1346,                0.64463,                0.59345,                0.63286,                 0.5057,                0.68164,                 1.4976,                 1.1478,             0.00025664,             0.00025664,             0.00025664
                      8,                0.64358,                 1.0976,                  1.125,                0.66624,                0.58954,                0.64157,                0.52315,                0.68336,                 1.4345,                 1.1337,             0.00025396,             0.00025396,             0.00025396
                      9,                0.62656,                 1.0346,                 1.1127,                0.58983,                0.66416,                0.65049,                0.53066,                0.65872,                  1.372,                 1.1252,             0.00025129,             0.00025129,             0.00025129
                     10,                0.60668,                 0.9806,                 1.1011,                0.63357,                0.65907,                0.68389,                0.56405,                0.65679,                 1.3453,                 1.1207,             0.00024862,             0.00024862,             0.00024862
                     11,                0.60802,                0.94723,                 1.1048,                0.64957,                0.63592,                0.65102,                0.53598,                0.65833,                 1.4294,                 1.1225,             0.00024594,             0.00024594,             0.00024594
                     12,                0.58704,                0.91259,                 1.0934,                0.66268,                 0.6344,                0.67856,                 0.5612,                0.62294,                  1.397,                 1.0958,             0.00024327,             0.00024327,             0.00024327
                     13,                0.58811,                0.88386,                 1.0965,                0.69248,                0.63192,                0.67426,                0.54859,                0.65198,                 1.3795,                   1.12,              0.0002406,              0.0002406,              0.0002406
                     14,                0.58004,                0.85536,                 1.0864,                0.66096,                0.66249,                0.68394,                0.56214,                0.64863,                 1.3339,                  1.133,             0.00023792,             0.00023792,             0.00023792
                     15,                0.55938,                0.81178,                 1.0736,                0.61366,                0.69397,                0.67517,                0.55884,                0.63431,                 1.3212,                 1.1073,             0.00023525,             0.00023525,             0.00023525
                     16,                0.55999,                0.79638,                 1.0695,                 0.6475,                0.68766,                0.70205,                 0.5866,                0.61665,                 1.3091,                 1.1069,             0.00023258,             0.00023258,             0.00023258
                     17,                0.54891,                 0.7651,                 1.0626,                0.65973,                0.63845,                0.67658,                0.55985,                0.63581,                 1.3304,                 1.1216,             0.00022991,             0.00022991,             0.00022991
                     18,                0.54489,                0.76024,                 1.0629,                0.68001,                0.62249,                0.66563,                0.55778,                0.62356,                  1.446,                 1.0897,             0.00022723,             0.00022723,             0.00022723
                     19,                0.53607,                0.73125,                  1.057,                0.66669,                 0.6446,                0.67696,                0.56047,                0.62497,                 1.3922,                 1.1048,             0.00022456,             0.00022456,             0.00022456
                     20,                0.52857,                0.70591,                 1.0483,                0.66782,                0.66394,                 0.6944,                0.57389,                0.61532,                 1.3151,                 1.1014,             0.00022189,             0.00022189,             0.00022189
                     21,                0.53084,                0.69584,                 1.0512,                0.66892,                0.66702,                0.68806,                0.57497,                0.60427,                 1.3568,                 1.0956,             0.00021921,             0.00021921,             0.00021921
                     22,                0.51952,                0.67683,                 1.0437,                0.67995,                0.66616,                0.69861,                0.58093,                0.61839,                 1.3738,                 1.1035,             0.00021654,             0.00021654,             0.00021654
                     23,                0.50922,                0.66698,                 1.0404,                0.68415,                0.66014,                 0.7012,                0.58375,                0.60596,                 1.3612,                 1.0993,             0.00021387,             0.00021387,             0.00021387
                     24,                0.51153,                0.65381,                 1.0388,                0.68474,                0.65771,                0.70166,                0.58845,                0.63767,                 1.3479,                 1.1146,             0.00021119,             0.00021119,             0.00021119
                     25,                0.50701,                0.63617,                  1.034,                0.71695,                0.65734,                0.70783,                0.58994,                0.61934,                 1.3416,                 1.1041,             0.00020852,             0.00020852,             0.00020852
                     26,                0.50315,                 0.6182,                 1.0317,                0.70959,                0.65787,                0.70088,                0.58994,                0.60288,                 1.3607,                 1.0899,             0.00020585,             0.00020585,             0.00020585
                     27,                0.49961,                0.61664,                  1.032,                0.70385,                0.67926,                0.70737,                0.59127,                0.62711,                 1.3261,                  1.114,             0.00020317,             0.00020317,             0.00020317
                     28,                0.49457,                0.60423,                 1.0276,                0.76347,                0.64504,                0.72065,                0.61261,                0.60509,                 1.2846,                 1.0936,              0.0002005,              0.0002005,              0.0002005
                     29,                0.49134,                0.60226,                 1.0272,                0.69634,                0.67492,                0.70704,                0.59214,                0.62467,                 1.3791,                 1.1186,             0.00019783,             0.00019783,             0.00019783
                     30,                0.48621,                0.58614,                 1.0254,                0.69563,                0.64703,                0.68528,                0.57533,                0.60939,                 1.3535,                 1.1037,             0.00019516,             0.00019516,             0.00019516
